"","Geneid","2i_counts","S_counts"
"23232","Gm28927",0,0.5
"23233","Gm28929",2.5,0.5
"23234","Gm28930",0,0
"23235","Gm28932",0,0
"23236","Gm28934",0,0
"23237","Gm28935",0,0
"23238","Gm28936",0,0
"23239","Gm28937",0,0
"23240","Gm28938",0,0
"23241","Gm28939",0,0
"23242","Gm28940",1.5,18.5
"23243","Gm28941",21.5,11.5
"23244","Gm28942",0.5,0
"23245","Gm28943",0,0
"23246","Gm28944",0,0
"23247","Gm28945",0,0
"23248","Gm28946",0,0
"23249","Gm28947",0,0
"23250","Gm28948",0,0
"23251","Gm28949",0,0
"23252","Gm2895",0.5,0
"23253","Gm28950",0,0
"23254","Gm28951",0,0
"23255","Gm28952",0,0
"23256","Gm28953",0,0
"23257","Gm28954",0,0
"23258","Gm28955",0,0
"23259","Gm28956",0,0
"23260","Gm28957",0,0
"23261","Gm28958",0,0
"23262","Gm28959",0,0
"23263","Gm28960",0,0
"23264","Gm28961",0,0
"23265","Gm28962",0,0
"23266","Gm28963",0.5,0
"23267","Gm28964",0,0
"23268","Gm28965",0,0
"23269","Gm28966",0,0
"23270","Gm28967",0,0
"23271","Gm28968",0,0
"23272","Gm28969",0,0
"23273","Gm2897",38,103
"23274","Gm28970",0,0
"23275","Gm28971",0,0
"23276","Gm28972",0,0
"23277","Gm28973",0,0
"23278","Gm28974",0,0
"23279","Gm28975",0,0
"23280","Gm28976",0,0
"23281","Gm28977",0,0
"23282","Gm28978",0,0
"23283","Gm28979",0,0
"23284","Gm28980",9,6.5
"23285","Gm28981",0,0
"23286","Gm28982",0.5,0
"23287","Gm28983",0,0
"23288","Gm28984",0,0
"23289","Gm28985",0,0
"23290","Gm28986",0,0
"23291","Gm28987",0,0
"23292","Gm28988",4,2
"23293","Gm28989",2,1.5
"23294","Gm28990",0,0
"23295","Gm28991",0,0
"23296","Gm28992",0,0
"23297","Gm28993",0,0
"23298","Gm28994",0,0
"23299","Gm28995",3,3.5
"23300","Gm28996",0,0
"23301","Gm28997",0,0
"23302","Gm28998",0,0
"23303","Gm28999",0,0
"23304","Gm29000",0,0
"23305","Gm29001",0,0
"23306","Gm29002",0,0
"23307","Gm29003",0,0
"23308","Gm29005",0,0
"23309","Gm29007",0,0
"23310","Gm29008",0,1
"23311","Gm29009",0,0
"23312","Gm29010",0,0
"23313","Gm29011",0.5,0
"23314","Gm29012",0,0
"23315","Gm29013",0,0
"23316","Gm29014",0,0
"23317","Gm29015",0,0
"23318","Gm29016",0,0
"23319","Gm29017",5,4.5
"23320","Gm29018",0,0
"23321","Gm29019",0.5,0
"23322","Gm29020",0,0
"23323","Gm29021",0,0
"23324","Gm29022",0,0
"23325","Gm29023",0,0
"23326","Gm29024",0,0
"23327","Gm29025",0,0
"23328","Gm29026",0,0
"23329","Gm29027",0,0
"23330","Gm29028",0,0
"23331","Gm29029",0,0
"23332","Gm29030",0,0
"23333","Gm29031",0,0
"23334","Gm29032",0,0
"23335","Gm29033",0,0
"23336","Gm29034",0,0
"23337","Gm29036",2.5,2
"23338","Gm29037",0,0
"23339","Gm29038",0,0
"23340","Gm29040",3.5,1.5
"23341","Gm29041",41.5,37
"23342","Gm29042",0,0
"23343","Gm29043",0,0
"23344","Gm29044",0,0
"23345","Gm29045",0,0
"23346","Gm29046",0,0
"23347","Gm29047",0,0
"23348","Gm29048",0,0
"23349","Gm29049",0,0
"23350","Gm29050",5.5,4
"23351","Gm29051",0,0
"23352","Gm29052",0,0.5
"23353","Gm29053",0,0
"23354","Gm29054",0,0
"23355","Gm29055",0,0
"23356","Gm29056",0,0
"23357","Gm29057",0,0
"23358","Gm29058",0,0
"23359","Gm29059",0,0
"23360","Gm29060",0,0
"23361","Gm29061",0,0
"23362","Gm29062",0,0
"23363","Gm29063",0,0
"23364","Gm29064",0,0
"23365","Gm29065",0,0
"23366","Gm29066",0,0
"23367","Gm29067",0,0
"23368","Gm29068",0,0
"23369","Gm29069",0,0
"23370","Gm2907",2,1.5
"23371","Gm29070",0,0
"23372","Gm29071",0,0
"23373","Gm29072",0,0
"23374","Gm29073",0,0
"23375","Gm29074",0,0
"23376","Gm29075",0,0
"23377","Gm29076",0,0
"23378","Gm29077",0,0
"23379","Gm29078",0,0
"23380","Gm29079",0,0
"23381","Gm29080",0,0
"23382","Gm29081",0,0
"23383","Gm29082",0,0
"23384","Gm29083",0,0
"23385","Gm29084",0,0
"23386","Gm29085",0,0
"23387","Gm29086",0,0
"23388","Gm29087",0,0.5
"23389","Gm29088",0,0
"23390","Gm29089",0,0
"23391","Gm29090",0,0
"23392","Gm29091",0,0
"23393","Gm29092",0,0
"23394","Gm29093",42.5,28.5
"23395","Gm29094",0,0
"23396","Gm29097",0,0
"23397","Gm29098",0,0
"23398","Gm29099",0,0
"23399","Gm29100",0,3.5
"23400","Gm29101",0,0
"23401","Gm29103",0,0
"23402","Gm29104",0,0
"23403","Gm29105",0,0
"23404","Gm29106",15,9
"23405","Gm29107",0,0
"23406","Gm29108",0,0
"23407","Gm29109",0,0
"23408","Gm29110",0,0
"23409","Gm29111",0,0
"23410","Gm29112",0,0
"23411","Gm29113",0,0
"23412","Gm29114",0,0.5
"23413","Gm29115",0,0
"23414","Gm29116",0,0
"23415","Gm29117",0,0
"23416","Gm29118",0,0
"23417","Gm29119",0,0
"23418","Gm2912",0,0
"23419","Gm29120",0,0
"23420","Gm29121",0,0
"23421","Gm29122",0,0
"23422","Gm29123",7,10
"23423","Gm29124",51.5,56
"23424","Gm29125",0,0.5
"23425","Gm29126",0,0.5
"23426","Gm29127",0,0
"23427","Gm29128",0,0
"23428","Gm29129",0,0
"23429","Gm29130",0,0
"23430","Gm29131",0,0
"23431","Gm29132",0,0
"23432","Gm29133",0,0
"23433","Gm29134",0,0
"23434","Gm29135",0,0
"23435","Gm29137",0,0
"23436","Gm29138",349.5,313.5
"23437","Gm29139",0,0
"23438","Gm2914",0,0
"23439","Gm29140",0,0
"23440","Gm29141",0,0
"23441","Gm29142",0,0
"23442","Gm29143",0,0
"23443","Gm29144",0,0
"23444","Gm29145",0,0
"23445","Gm29146",0,0
"23446","Gm29147",0,0
"23447","Gm29148",0,0
"23448","Gm29149",0,0
"23449","Gm2915",9,6.5
"23450","Gm29151",0.5,0
"23451","Gm29152",0,0
"23452","Gm29154",0,1.5
"23453","Gm29155",0.5,0.5
"23454","Gm29156",0,0.5
"23455","Gm29157",0,0.5
"23456","Gm29158",0,0
"23457","Gm29159",0,0
"23458","Gm2916",0,0
"23459","Gm29160",0,0
"23460","Gm29161",0,0
"23461","Gm29162",0,0
"23462","Gm29163",0,0
"23463","Gm29164",167.5,158
"23464","Gm29165",0,0
"23465","Gm29166",0,0
"23466","Gm29167",0.5,0.5
"23467","Gm29168",0,0
"23468","Gm29169",0,0
"23469","Gm29170",24.5,48.5
"23470","Gm29171",0,0
"23471","Gm29175",0,0
"23472","Gm29178",0,0
"23473","Gm29179",0,0
"23474","Gm29180",0,0
"23475","Gm29181",0,0
"23476","Gm29182",0,0
"23477","Gm29183",0.5,0.5
"23478","Gm29184",0,0
"23479","Gm29185",0,0
"23480","Gm29186",0,0
"23481","Gm29187",0,0
"23482","Gm29188",0,0
"23483","Gm29189",0,0
"23484","Gm29190",0,0
"23485","Gm29191",0,0
"23486","Gm29192",0,0
"23487","Gm29193",0,0
"23488","Gm29194",0,0
"23489","Gm29195",0,0
"23490","Gm29196",0,0
"23491","Gm29197",0,0
"23492","Gm29198",0,0
"23493","Gm29199",166,173
"23494","Gm29200",0,0
"23495","Gm29201",658,549.5
"23496","Gm29202",3.5,5.5
"23497","Gm29203",0,0
"23498","Gm29204",0,0
"23499","Gm29206",0,0
"23500","Gm29207",0,0
"23501","Gm29208",0,0
"23502","Gm29209",0,0
"23503","Gm29210",0,0
"23504","Gm29211",0,0
"23505","Gm29212",0,0
"23506","Gm29213",0,0
"23507","Gm29214",0.5,0
"23508","Gm29215",0,0
"23509","Gm29216",86024.5,51856.5
"23510","Gm29217",0,0
"23511","Gm29218",0,0
"23512","Gm29219",0,0
"23513","Gm29220",0,0
"23514","Gm29221",0,0
"23515","Gm29222",0,0
"23516","Gm29223",0,0
"23517","Gm29224",0,0
"23518","Gm29225",0,0
"23519","Gm29226",0,0
"23520","Gm29227",0,0
"23521","Gm29228",345.5,293
"23522","Gm29229",0,0
"23523","Gm29230",0,0
"23524","Gm29231",0,0
"23525","Gm29232",0,0
"23526","Gm29233",0,2.5
"23527","Gm29234",0.5,0
"23528","Gm29235",0,0
"23529","Gm29237",14,17
"23530","Gm29238",0,0
"23531","Gm29239",0,0
"23532","Gm29240",0.5,4.5
"23533","Gm29241",63,76
"23534","Gm29242",0,0
"23535","Gm29243",1.5,12
"23536","Gm29244",0,0
"23537","Gm29245",0,0
"23538","Gm29246",0,0
"23539","Gm29247",0,0
"23540","Gm29248",0,0
"23541","Gm29249",0,0
"23542","Gm29250",0,0
"23543","Gm29251",0,0
"23544","Gm29252",0,0
"23545","Gm29253",0,0
"23546","Gm29254",0.5,0.5
"23547","Gm29255",0,0
"23548","Gm29256",0,0
"23549","Gm29257",3020,2640
"23550","Gm29258",0,0.5
"23551","Gm29259",0,0
"23552","Gm2926",4,5
"23553","Gm29260",0.5,0
"23554","Gm29261",0,0
"23555","Gm29262",0,0
"23556","Gm29263",0,0
"23557","Gm29264",0,1.5
"23558","Gm29265",0,0
"23559","Gm29266",0,0
"23560","Gm29267",0,0
"23561","Gm29268",0,0
"23562","Gm29269",0,0
"23563","Gm29270",0,0
"23564","Gm29271",0,0
"23565","Gm29272",0,0
"23566","Gm29273",0,0
"23567","Gm29274",0,0
"23568","Gm29275",0,0
"23569","Gm29276",0,0
"23570","Gm29277",0,0
"23571","Gm29278",0,0
"23572","Gm29279",0,0
"23573","Gm29280",0,0
"23574","Gm29281",0,0
"23575","Gm29282",0,0
"23576","Gm29283",1.5,1
"23577","Gm29284",0.5,2
"23578","Gm29285",0,0
"23579","Gm29286",0,0
"23580","Gm29288",0,0
"23581","Gm29289",0,1
"23582","Gm29290",0,1
"23583","Gm29291",0,0
"23584","Gm29292",0,0
"23585","Gm29293",0,0
"23586","Gm29295",0,0
"23587","Gm29296",0,0
"23588","Gm29297",0,0
"23589","Gm29298",0,0
"23590","Gm29299",0,0
"23591","Gm2930",0,0
"23592","Gm29300",0,0
"23593","Gm29301",0,0
"23594","Gm29302",0,0
"23595","Gm29303",0,0
"23596","Gm29304",0,0
"23597","Gm29305",0,0
"23598","Gm29306",0,0
"23599","Gm29307",0,0
"23600","Gm29308",0,0
"23601","Gm29309",0,0
"23602","Gm29310",0,0
"23603","Gm29311",0,0
"23604","Gm29312",0,0
"23605","Gm29313",0,0
"23606","Gm29314",0,0
"23607","Gm29315",0,0
"23608","Gm29316",0,0
"23609","Gm29317",0,0
"23610","Gm29318",0,0
"23611","Gm29319",0,0
"23612","Gm29320",0,0
"23613","Gm29321",0,0
"23614","Gm29322",0,0
"23615","Gm29323",0,0.5
"23616","Gm29324",0,0
"23617","Gm29325",0,0
"23618","Gm29326",0,0
"23619","Gm29327",0,0
"23620","Gm29328",0,0
"23621","Gm29329",0,0
"23622","Gm29330",0,0
"23623","Gm29331",0,0
"23624","Gm29332",0,0
"23625","Gm29333",0,0
"23626","Gm29334",0,0
"23627","Gm29335",1.5,0.5
"23628","Gm29336",0,0.5
"23629","Gm29337",0,0
"23630","Gm29338",0,0
"23631","Gm29339",0,0
"23632","Gm29340",2,3.5
"23633","Gm29341",0,0
"23634","Gm29342",0,0
"23635","Gm29343",0,0
"23636","Gm29344",0,0.5
"23637","Gm29345",0,0
"23638","Gm29346",0,0.5
"23639","Gm29347",0,0
"23640","Gm29348",0,0
"23641","Gm29349",0,0
"23642","Gm29350",0,0
"23643","Gm29351",0,0
"23644","Gm29352",0,0
"23645","Gm29353",0,0
"23646","Gm29354",0,0
"23647","Gm29355",0,0
"23648","Gm29356",0,0
"23649","Gm29357",0,0
"23650","Gm29358",0,0
"23651","Gm29359",0,0
"23652","Gm29360",0,0
"23653","Gm29361",85,241.5
"23654","Gm29362",0,0
"23655","Gm29363",0,0
"23656","Gm29364",0,0
"23657","Gm29365",0,0
"23658","Gm29366",0,0
"23659","Gm29367",0,0
"23660","Gm29368",0,0
"23661","Gm29369",0,0
"23662","Gm29370",0,0
"23663","Gm29371",0,0
"23664","Gm29372",0,0
"23665","Gm29373",0,0
"23666","Gm29374",0,0
"23667","Gm29376",2,0.5
"23668","Gm29377",0,0
"23669","Gm29378",0,0
"23670","Gm29379",0,0
"23671","Gm29380",0,0
"23672","Gm29381",0,0
"23673","Gm29382",0,0
"23674","Gm29383",0,0.5
"23675","Gm29384",0,0
"23676","Gm29385",0,0
"23677","Gm29386",0,0
"23678","Gm29387",0,0
"23679","Gm29388",0.5,0
"23680","Gm29389",0,0
"23681","Gm2939",0.5,0
"23682","Gm29390",0,0
"23683","Gm29391",0,0
"23684","Gm29392",0,0
"23685","Gm29393",0,0
"23686","Gm29394",0,1
"23687","Gm29395",0,0
"23688","Gm29396",0,0
"23689","Gm29397",173.5,263.5
"23690","Gm29398",0,0
"23691","Gm29399",0,0
"23692","Gm29400",0,0
"23693","Gm29401",0,0
"23694","Gm29402",0,0
"23695","Gm29403",0,0
"23696","Gm29404",0,0
"23697","Gm29405",0,0
"23698","Gm29406",0,0
"23699","Gm29407",0,0
"23700","Gm29408",0,0
"23701","Gm29409",0,0
"23702","Gm29410",0,0
"23703","Gm29411",0,0
"23704","Gm29412",0,0
"23705","Gm29413",0,0
"23706","Gm29414",0,0
"23707","Gm29416",0,0
"23708","Gm29417",4,3
"23709","Gm29418",0.5,0
"23710","Gm29420",0,0
"23711","Gm29421",0,0
"23712","Gm29422",0,0
"23713","Gm29423",0,0
"23714","Gm29424",0,0
"23715","Gm29425",0,0
"23716","Gm29426",0,0
"23717","Gm29427",0,0
"23718","Gm29428",0,0.5
"23719","Gm29429",0,0
"23720","Gm29430",0,0
"23721","Gm29431",0,0
"23722","Gm29432",0,0
"23723","Gm29433",0,0
"23724","Gm29434",0,0
"23725","Gm29435",0,1.5
"23726","Gm29436",0,0
"23727","Gm29437",0,0
"23728","Gm29438",0,1
"23729","Gm29439",0,0
"23730","Gm29441",0,0
"23731","Gm29442",0,0
"23732","Gm29443",0,0
"23733","Gm29444",0,0
"23734","Gm29445",0,0
"23735","Gm29446",0,0.5
"23736","Gm29447",0,0
"23737","Gm29448",0,0
"23738","Gm29449",0,0
"23739","Gm29450",0,0
"23740","Gm29451",0,0
"23741","Gm29452",0,0
"23742","Gm29453",0,0
"23743","Gm29454",0.5,0
"23744","Gm29455",0,0
"23745","Gm29456",0.5,0.5
"23746","Gm29457",0,0
"23747","Gm29458",0.5,0
"23748","Gm29459",0,0
"23749","Gm29460",0,0
"23750","Gm29461",0,0.5
"23751","Gm29462",190.5,162.5
"23752","Gm29464",0,0.5
"23753","Gm29466",0,0
"23754","Gm29467",0,0
"23755","Gm29468",0,0
"23756","Gm29469",0,0
"23757","Gm29470",0,0
"23758","Gm29471",0,0
"23759","Gm29472",0,0
"23760","Gm29473",0,0
"23761","Gm29474",0,0
"23762","Gm29475",0,0
"23763","Gm29476",0,0
"23764","Gm29477",0,1.5
"23765","Gm29478",0,0
"23766","Gm29479",0,0
"23767","Gm29480",0.5,0
"23768","Gm29481",0,0
"23769","Gm29482",0,0
"23770","Gm29483",0,0
"23771","Gm29484",0,0
"23772","Gm29485",29.5,43.5
"23773","Gm29486",0.5,0.5
"23774","Gm29487",2,1
"23775","Gm29488",1.5,0
"23776","Gm29489",0,0
"23777","Gm29490",0,0
"23778","Gm29491",0.5,1.5
"23779","Gm29492",0,0
"23780","Gm29495",1.5,0.5
"23781","Gm29496",0,0
"23782","Gm29497",0,0
"23783","Gm29498",0,0
"23784","Gm29499",0,0
"23785","Gm2950",2.5,0.5
"23786","Gm29500",0,0
"23787","Gm29501",0,0
"23788","Gm29502",0,0
"23789","Gm29503",1,0.5
"23790","Gm29504",0,0
"23791","Gm29505",0,0
"23792","Gm29506",0,0
"23793","Gm29507",0,0
"23794","Gm29508",0,0
"23795","Gm29509",0,0
"23796","Gm2951",0.5,0
"23797","Gm29511",0,0
"23798","Gm29512",0,0
"23799","Gm29513",0,0
"23800","Gm29514",0,0
"23801","Gm29515",0,0
"23802","Gm29516",1,0
"23803","Gm29517",0,0
"23804","Gm29518",0.5,0
"23805","Gm29519",4,2
"23806","Gm29520",0,0
"23807","Gm29521",0,0
"23808","Gm29522",0,0
"23809","Gm29523",0,0
"23810","Gm29524",0,0
"23811","Gm29525",0,0
"23812","Gm29526",0,0
"23813","Gm29527",0,0
"23814","Gm29528",0,0
"23815","Gm29529",0,0
"23816","Gm29530",0.5,0
"23817","Gm29531",0,0
"23818","Gm29532",0,0
"23819","Gm29533",0,0
"23820","Gm29534",0,0
"23821","Gm29535",0,0
"23822","Gm29536",0,0
"23823","Gm29537",0,0
"23824","Gm29538",0,0.5
"23825","Gm29539",1.5,2
"23826","Gm29540",0,0
"23827","Gm29541",0,0
"23828","Gm29542",0,0
"23829","Gm29543",0,2.5
"23830","Gm29544",0,0
"23831","Gm29545",0,0
"23832","Gm29546",0,0
"23833","Gm29547",0,0
"23834","Gm29548",0,0
"23835","Gm29549",0,0
"23836","Gm29550",20,7
"23837","Gm29551",0,0
"23838","Gm29552",0,0
"23839","Gm29553",0,0
"23840","Gm29554",0,0
"23841","Gm29555",0,0
"23842","Gm29556",0,0
"23843","Gm29557",0,0
"23844","Gm29558",0,0
"23845","Gm29559",0,0
"23846","Gm2956",27,91.5
"23847","Gm29560",0.5,0
"23848","Gm29561",0,0
"23849","Gm29562",0,0
"23850","Gm29563",0,0
"23851","Gm29564",0,0
"23852","Gm29565",0,0
"23853","Gm29566",0,0
"23854","Gm29567",0,0
"23855","Gm29568",0,0
"23856","Gm29569",0,0
"23857","Gm29570",0.5,0
"23858","Gm29571",0,0
"23859","Gm29572",0,0
"23860","Gm29573",0,0
"23861","Gm29574",0,0
"23862","Gm29575",0,0
"23863","Gm29576",0,0
"23864","Gm29577",0,0
"23865","Gm29578",0,0
"23866","Gm29579",0,0
"23867","Gm29580",0,0
"23868","Gm29581",0,0
"23869","Gm29582",0,0
"23870","Gm29584",0,0
"23871","Gm29585",6.5,9
"23872","Gm29586",0,0
"23873","Gm29587",0,0
"23874","Gm29588",0,0
"23875","Gm2959",0.5,0
"23876","Gm29590",0,0
"23877","Gm29591",0,0
"23878","Gm29592",0,0
"23879","Gm29594",0,0
"23880","Gm29596",1,1
"23881","Gm29597",0,0
"23882","Gm29598",0,0
"23883","Gm29599",0,0
"23884","Gm29600",0,0
"23885","Gm29601",0,0
"23886","Gm29602",0,0
"23887","Gm29603",0,0
"23888","Gm29604",0,0
"23889","Gm29605",0,0
"23890","Gm29606",0,0
"23891","Gm29607",0,0
"23892","Gm29608",0,0
"23893","Gm29609",12.5,2
"23894","Gm2961",1,1.5
"23895","Gm29610",62.5,40
"23896","Gm29611",0,0.5
"23897","Gm29612",0,0
"23898","Gm29613",0,0
"23899","Gm29614",0,0
"23900","Gm29615",0,0
"23901","Gm29616",0,0
"23902","Gm29617",0,0
"23903","Gm29618",0,0
"23904","Gm2962",1026.5,580.5
"23905","Gm29622",0,0
"23906","Gm29623",0,0
"23907","Gm29624",0,0
"23908","Gm29625",0,0
"23909","Gm29626",0,0
"23910","Gm29627",0.5,1
"23911","Gm29628",0,0
"23912","Gm29629",0,0
"23913","Gm29630",10,3.5
"23914","Gm29631",0,0
"23915","Gm29632",0,0
"23916","Gm29633",0,0
"23917","Gm29634",0,0
"23918","Gm29635",0,0
"23919","Gm29636",0,0
"23920","Gm29637",0,0
"23921","Gm29638",0,0
"23922","Gm29639",0,0
"23923","Gm29640",0,0
"23924","Gm29641",0,0
"23925","Gm29642",0,0.5
"23926","Gm29644",0,0
"23927","Gm29645",0,0
"23928","Gm29646",0,0
"23929","Gm29647",0,0
"23930","Gm29648",0,0
"23931","Gm29649",1,2
"23932","Gm2965",0,0
"23933","Gm29650",0,0.5
"23934","Gm29651",0,0
"23935","Gm29652",0,0
"23936","Gm29653",0,0
"23937","Gm29654",0,0
"23938","Gm29655",0,0
"23939","Gm29656",0,0
"23940","Gm29657",0,0
"23941","Gm29658",0,0.5
"23942","Gm29659",0,0
"23943","Gm2966",0.5,0
"23944","Gm29660",0,0
"23945","Gm29661",0,0
"23946","Gm29662",0,0
"23947","Gm29663",0,0
"23948","Gm29664",0,0
"23949","Gm29665",0,0
"23950","Gm29666",13,19.5
"23951","Gm29667",12.5,13.5
"23952","Gm29668",194.5,192
"23953","Gm29670",0,0
"23954","Gm29671",0,0
"23955","Gm29672",0,0
"23956","Gm29674",0,0
"23957","Gm29675",2,0.5
"23958","Gm29676",1,0.5
"23959","Gm29677",0,0
"23960","Gm29678",0,0
"23961","Gm29680",0.5,1
"23962","Gm29681",0.5,1.5
"23963","Gm29682",0,0.5
"23964","Gm29683",0.5,0
"23965","Gm29684",0,0
"23966","Gm29685",0,0
"23967","Gm29686",0,0
"23968","Gm29687",0,0
"23969","Gm29689",2,0.5
"23970","Gm29695",99,114.5
"23971","Gm29696",0,0
"23972","Gm29697",0,0
"23973","Gm29704",16.5,12
"23974","Gm29705",0,0
"23975","Gm29707",3.5,2
"23976","Gm29708",0,0
"23977","Gm29711",1.5,0
"23978","Gm29717",4,2.5
"23979","Gm29718",478,359.5
"23980","Gm29719",16.5,2.5
"23981","Gm29721",51,11
"23982","Gm29724",18.5,4
"23983","Gm29725",7.5,9.5
"23984","Gm29730",0,0
"23985","Gm29735",0,0
"23986","Gm29736",12.5,11
"23987","Gm29737",32.5,24.5
"23988","Gm29739",145,220
"23989","Gm2974",44.5,137
"23990","Gm29740",0,0
"23991","Gm29741",6,13
"23992","Gm29742",0,0
"23993","Gm29745",33.5,24.5
"23994","Gm29747",0,0
"23995","Gm29748",0,0
"23996","Gm2975",1.5,1
"23997","Gm29753",281,236
"23998","Gm29754",4.5,7.5
"23999","Gm29755",0.5,0
"24000","Gm29759",7.5,8
"24001","Gm2976",67,57.5
"24002","Gm29761",0,1
"24003","Gm29763",53,48
"24004","Gm29764",0,0
"24005","Gm29767",2.5,1.5
"24006","Gm29770",0,0
"24007","Gm29771",0,0
"24008","Gm29773",5.5,4
"24009","Gm29774",0.5,0
"24010","Gm29776",22.5,4.5
"24011","Gm29778",2.5,2.5
"24012","Gm29781",7,12.5
"24013","Gm29783",1,2
"24014","Gm29784",0,0
"24015","Gm29785",4,4
"24016","Gm29787",310.5,372.5
"24017","Gm29788",0.5,0
"24018","Gm2979",1,1
"24019","Gm29791",3,4
"24020","Gm29793",9.5,3
"24021","Gm29794",79,19
"24022","Gm29797",10.5,12.5
"24023","Gm29799",0,0
"24024","Gm29800",0.5,0
"24025","Gm29803",0.5,0
"24026","Gm29805",0,0
"24027","Gm29807",50,55
"24028","Gm29808",28,20.5
"24029","Gm29809",0,0
"24030","Gm2981",789,860
"24031","Gm29811",0,0
"24032","Gm29813",0,0
"24033","Gm29815",0,0.5
"24034","Gm29817",0,0
"24035","Gm29818",0,0.5
"24036","Gm29819",0.5,0
"24037","Gm29823",0,0
"24038","Gm29824",0,0
"24039","Gm29825",0,0.5
"24040","Gm29839",0,0
"24041","Gm29844",0,1
"24042","Gm29848",0.5,0.5
"24043","Gm29856",0,0
"24044","Gm2986",290.5,317
"24045","Gm29860",0,0
"24046","Gm29863",0,0
"24047","Gm29865",0,0
"24048","Gm29866",0,0
"24049","Gm2987",0,0
"24050","Gm29880",0.5,0
"24051","Gm29884",0,0.5
"24052","Gm29895",0,2.5
"24053","Gm2990",0,4.5
"24054","Gm29904",0,0
"24055","Gm29909",0,0
"24056","Gm2991",316.5,362.5
"24057","Gm29918",0,0
"24058","Gm29920",15.5,11
"24059","Gm29926",0,0
"24060","Gm29927",0,0
"24061","Gm29946",0,0
"24062","Gm29950",0.5,0
"24063","Gm2996",76.5,42
"24064","Gm29961",0,1
"24065","Gm29966",0,0
"24066","Gm29968",0,0
"24067","Gm29977",0,0
"24068","Gm2999",2770.5,1592
"24069","Gm29992",0,0
"24070","Gm29994",5.5,2.5
"24071","Gm29999",0,0
"24072","Gm2a",905.5,478
"24073","Gm30003",0,0
"24074","Gm30008",0,0
"24075","Gm30015",4,2
"24076","Gm30018",0,0
"24077","Gm3002",31,89.5
"24078","Gm30023",1020,864
"24079","Gm30025",6,11.5
"24080","Gm30034",0,0
"24081","Gm30042",0.5,0
"24082","Gm30043",0,0
"24083","Gm30045",0,0
"24084","Gm3005",11,32
"24085","Gm30052",0,0
"24086","Gm30054",0,0
"24087","Gm30055",0,0.5
"24088","Gm30074",0,0
"24089","Gm30075",0,0.5
"24090","Gm3008",1.5,0
"24091","Gm30082",2.5,0.5
"24092","Gm30083",0,0
"24093","Gm30085",6.5,4
"24094","Gm30091",0,1
"24095","Gm30093",0,0
"24096","Gm30094",0,0
"24097","Gm30097",0.5,0
"24098","Gm3010",0,0
"24099","Gm30108",6,7
"24100","Gm3011",0.5,0
"24101","Gm30117",0.5,0
"24102","Gm3012",10.5,26.5
"24103","Gm30122",0.5,2.5
"24104","Gm30124",15.5,7.5
"24105","Gm30127",0,0
"24106","Gm30132",1.5,0
"24107","Gm30146",1,0.5
"24108","Gm3015",0,0
"24109","Gm30155",4.5,8
"24110","Gm30159",0,0
"24111","Gm30162",0.5,0
"24112","Gm30165",0,0.5
"24113","Gm3017",22,19.5
"24114","Gm30172",0,0
"24115","Gm30173",0,0
"24116","Gm30174",0,0
"24117","Gm30175",0,0
"24118","Gm30177",0,0
"24119","Gm30190",0,0
"24120","Gm30191",0,2
"24121","Gm30192",0,0
"24122","Gm30196",0,0
"24123","Gm30198",2,0
"24124","Gm3020",38,140.5
"24125","Gm30211",0,0
"24126","Gm30214",16.5,5
"24127","Gm30228",48.5,51
"24128","Gm30232",1,3
"24129","Gm30238",2,2.5
"24130","Gm30239",0,0
"24131","Gm30246",0,0.5
"24132","Gm3025",0,0
"24133","Gm30251",20,62.5
"24134","Gm30262",0,0
"24135","Gm3027",0,0
"24136","Gm30270",0,0
"24137","Gm30275",0,0
"24138","Gm3028",2.5,0
"24139","Gm30280",3.5,1.5
"24140","Gm30285",0,0.5
"24141","Gm30288",0,0
"24142","Gm3029",0,0.5
"24143","Gm30292",0,0.5
"24144","Gm3030",2,5
"24145","Gm30301",0,0
"24146","Gm30302",0,0
"24147","Gm30312",0,0
"24148","Gm30313",0,0
"24149","Gm30329",0,0
"24150","Gm3033",0,0
"24151","Gm30332",0,0
"24152","Gm30339",0,0.5
"24153","Gm30340",0,0
"24154","Gm30341",0,0
"24155","Gm30346",0,0.5
"24156","Gm30353",0,0
"24157","Gm30363",13,2.5
"24158","Gm30371",0.5,0
"24159","Gm30373",0,0.5
"24160","Gm30381",0,0
"24161","Gm30382",0,0.5
"24162","Gm30400",0,0
"24163","Gm30409",0,0
"24164","Gm30411",0.5,0.5
"24165","Gm30414",2.5,4
"24166","Gm30420",0,0
"24167","Gm3043",0,0.5
"24168","Gm30437",0,0
"24169","Gm3045",1.5,0.5
"24170","Gm30454",0,0
"24171","Gm30459",0,0
"24172","Gm30467",0,0
"24173","Gm3047",1,3
"24174","Gm30484",0,0
"24175","Gm30489",0,0.5
"24176","Gm30498",0,0
"24177","Gm30504",8,5.5
"24178","Gm30505",1,2
"24179","Gm30517",0,0
"24180","Gm3052",0,0
"24181","Gm30524",0,0
"24182","Gm3053",0,0
"24183","Gm30531",7.5,12
"24184","Gm30534",0,0
"24185","Gm3054",0,0
"24186","Gm30541",0,0.5
"24187","Gm3055",119.5,117.5
"24188","Gm30551",0,0
"24189","Gm30556",0,0
"24190","Gm30557",0,0
"24191","Gm30563",0,0
"24192","Gm30564",0,0
