"","Geneid","2i_counts","S_counts"
"284","1700025K24Rik",0,0
"285","1700025L06Rik",0,0.5
"286","1700025M24Rik",0,0
"287","1700025N21Rik",0,0
"288","1700025N23Rik",0,0
"289","1700025O08Rik",0,0
"290","1700026D11Rik",0.5,0
"291","1700026F02Rik",2.5,1
"292","1700026J12Rik",0,0
"293","1700026J14Rik",0,0
"294","1700026N04Rik",2.5,0.5
"295","1700027A07Rik",2.5,0
"296","1700027A15Rik",0,0
"297","1700027F06Rik",0,0
"298","1700027F09Rik",0,0
"299","1700027H10Rik",0,0
"300","1700027I24Rik",0,0
"301","1700027J07Rik",0,0
"302","1700028B04Rik",12,15
"303","1700028D13Rik",0,0
"304","1700028E10Rik",16,8.5
"305","1700028I16Rik",9,2.5
"306","1700028J19Rik",14,14
"307","1700028K03Rik",1.5,0.5
"308","1700028M03Rik",0,0.5
"309","1700028N14Rik",0,0
"310","1700028P14Rik",0.5,0.5
"311","1700028P15Rik",0,0
"312","1700029B22Rik",0,0
"313","1700029B24Rik",0,0
"314","1700029E06Rik",0,0
"315","1700029F12Rik",0,0
"316","1700029H14Rik",0.5,0.5
"317","1700029I15Rik",13.5,8
"318","1700029J03Rik",0.5,0
"319","1700029J07Rik",1.5,6
"320","1700029M03Rik",0,0
"321","1700029M20Rik",4.5,3.5
"322","1700029N11Rik",0.5,0
"323","1700029P11Rik",148.5,73.5
"324","1700030A11Rik",1,1
"325","1700030C10Rik",1051,495.5
"326","1700030C12Rik",0,0.5
"327","1700030C14Rik",0.5,4
"328","1700030E10Rik",0,0
"329","1700030F04Rik",0,0.5
"330","1700030I03Rik",0,0
"331","1700030J22Rik",123.5,61.5
"332","1700030K09Rik",321,260.5
"333","1700030L20Rik",0,0
"334","1700030L22Rik",0,0
"335","1700030M09Rik",3.5,0.5
"336","1700030N03Rik",0.5,0
"337","1700030N18Rik",0,0
"338","1700030O20Rik",0,0
"339","1700031A10Rik",0.5,0
"340","1700031F05Rik",0,0
"341","1700031F10Rik",0,0
"342","1700031L13Rik",0,0
"343","1700031M16Rik",0,0
"344","1700031P21Rik",0,0
"345","1700034B16Rik",0,0
"346","1700034E13Rik",0,0
"347","1700034G24Rik",0,0
"348","1700034H15Rik",18,11.5
"349","1700034I23Rik",0,0
"350","1700034J04Rik",0,0
"351","1700034J05Rik",0,0
"352","1700034K08Rik",0,0
"353","1700034P13Rik",5,3.5
"354","1700036A12Rik",0,0
"355","1700036G14Rik",0,0
"356","1700036O09Rik",0,0
"357","1700037C06Rik",0,0
"358","1700037C18Rik",10,27
"359","1700037F03Rik",0,0
"360","1700037H04Rik",1122,1417.5
"361","1700039E22Rik",0,0
"362","1700039I01Rik",0,0
"363","1700039M10Rik",0.5,0
"364","1700039M15Rik",0,0
"365","1700040D17Rik",0,0.5
"366","1700040E09Rik",0,0
"367","1700040F15Rik",0,0
"368","1700040F17Rik",0,0
"369","1700040K01Rik",0,0
"370","1700040L08Rik",0,0.5
"371","1700041B01Rik",0,0
"372","1700041C23Rik",0,0
"373","1700041G16Rik",1,0
"374","1700041I07Rik",0,0
"375","1700041M05Rik",0,0
"376","1700041M19Rik",0,0
"377","1700042D02Rik",1,0
"378","1700042G07Rik",0,0
"379","1700042G15Rik",0.5,0
"380","1700042O05Rik",0,0
"381","1700042O10Rik",38,4.5
"382","1700044C05Rik",0,0
"383","1700044K03Rik",0,0
"384","1700045H11Rik",0,0
"385","1700045I11Rik",0,0
"386","1700046C09Rik",0,0
"387","1700047A11Rik",0,0
"388","1700047E10Rik",0,0
"389","1700047F07Rik",0,0.5
"390","1700047G03Rik",0,0
"391","1700047G07Rik",0,0
"392","1700047K16Rik",1,0
"393","1700047L14Rik",0,0
"394","1700047M11Rik",1.5,0.5
"395","1700047N06Rik",0,0
"396","1700047O18Rik",0,0
"397","1700048F04Rik",0,0
"398","1700048M11Rik",3.5,3.5
"399","1700048O14Rik",0,0
"400","1700048O20Rik",3.5,1
"401","1700048P04Rik",0,0
"402","1700049E15Rik",0,0
"403","1700049E17Rik1",8.5,3.5
"404","1700049E17Rik2",0,0.5
"405","1700049E22Rik",6.5,0
"406","1700049L16Rik",2,3
"407","1700051A21Rik",0,0
"408","1700051K13Rik",0,0
"409","1700051O22Rik",1,1
"410","1700052H01Rik",0,0
"411","1700052I22Rik",0,0
"412","1700052K11Rik",68.5,76.5
"413","1700054A03Rik",0,0
"414","1700054K02Rik",0,0
"415","1700054K19Rik",0,0
"416","1700054M17Rik",0,0
"417","1700054O05Rik",0,0
"418","1700054O19Rik",0,0
"419","1700055C04Rik",0,0
"420","1700055D18Rik",8,6.5
"421","1700056E22Rik",12,15.5
"422","1700056N10Rik",3.5,5.5
"423","1700057G04Rik",0,0.5
"424","1700057H15Rik",0,0
"425","1700057H21Rik",8.5,4
"426","1700058P15Rik",14,17
"427","1700060C16Rik",0,0
"428","1700060C20Rik",0.5,0
"429","1700060J05Rik",14,10.5
"430","1700060O08Rik",0,0
"431","1700061A03Rik",1.5,0.5
"432","1700061E17Rik",0.5,0.5
"433","1700061E18Rik",0,0
"434","1700061F12Rik",0,0
"435","1700061H18Rik",2.5,1.5
"436","1700061I17Rik",0,0.5
"437","1700061J23Rik",0,0
"438","1700061N14Rik",0,0
"439","1700062C10Rik",0,0
"440","1700063A18Rik",0,0
"441","1700063D05Rik",0,0
"442","1700063H04Rik",3,3.5
"443","1700063H06Rik",0,0
"444","1700063I16Rik",0,0
"445","1700063J08Rik",1.5,0
"446","1700063K16Rik",1.5,0.5
"447","1700063O14Rik",0,0
"448","1700064H15Rik",0,0
"449","1700064J06Rik",0,0
"450","1700064M15Rik",0,0.5
"451","1700065D16Rik",1,2
"452","1700065I16Rik",0,0
"453","1700065J11Rik",0.5,0
"454","1700065J18Rik",0,0
"455","1700065L07Rik",0,0
"456","1700065O20Rik",0,0
"457","1700066B17Rik",6.5,3
"458","1700066B19Rik",23,4.5
"459","1700066C05Rik",0,0
"460","1700066J03Rik",0,0
"461","1700066M21Rik",393,212
"462","1700066N21Rik",0.5,0.5
"463","1700066O22Rik",0,0
"464","1700067G17Rik",0,0
"465","1700067K01Rik",10,31
"466","1700067P10Rik",0,0
"467","1700069B07Rik",3.5,5.5
"468","1700069L16Rik",0,0
"469","1700069P05Rik",0,0
"470","1700071G01Rik",0,0
"471","1700071K01Rik",2.5,2.5
"472","1700071M16Rik",1,2
"473","1700072B07Rik",0,0
"474","1700072G22Rik",0.5,0
"475","1700072O05Rik",0,0
"476","1700073E17Rik",5,4
"477","1700074A21Rik",0,0
"478","1700074H08Rik",0,0
"479","1700074P13Rik",0,0
"480","1700080C20Rik",0,0
"481","1700080N15Rik",0,0
"482","1700080O16Rik",1,0
"483","1700081B01Rik",0,0.5
"484","1700081H04Rik",0,0
"485","1700081N11Rik",1.5,1.5
"486","1700082M22Rik",0,0
"487","1700083H02Rik",0,0
"488","1700084C06Rik",0,0
"489","1700084D21Rik",0,0
"490","1700084E18Rik",5,8.5
"491","1700084F23Rik",0,0
"492","1700084J12Rik",78,51.5
"493","1700084M14Rik",0,0
"494","1700085C21Rik",0,0
"495","1700085D07Rik",0,0
"496","1700086D15Rik",1,0.5
"497","1700086L19Rik",0,0.5
"498","1700086O06Rik",23,32.5
"499","1700086P04Rik",10,11.5
"500","1700087I21Rik",0,0.5
"501","1700087M22Rik",0,0
"502","1700088E04Rik",1,1
"503","1700091H14Rik",0,0.5
"504","1700092C02Rik",0,0
"505","1700092C10Rik",0,1.5
"506","1700092C17Rik",0,0
"507","1700092E16Rik",0,0
"508","1700092E19Rik",0,0
"509","1700092K14Rik",0,0
"510","1700092M07Rik",8,7
"511","1700093J21Rik",2,0
"512","1700093K21Rik",1,2
"513","1700094D03Rik",15,14
"514","1700094J05Rik",0,0
"515","1700094M23Rik",0,0
"516","1700094M24Rik",0,0
"517","1700095A13Rik",0,0
"518","1700095A21Rik",21.5,11.5
"519","1700095B10Rik",0.5,0
"520","1700095J03Rik",0,0
"521","1700095J07Rik",0,0
"522","1700095J12Rik",0,0
"523","1700095K22Rik",0,0
